x_min	y_min	x_max	y_max	conf	text
581	2507	1243	2538	99.26	SEIGE_a94cd894-edf0-4a23-b8df-127e2377ad6f_pg9_O_05032025
1261	2486	1515	2523	93.94	 ACN: 051 866 409
93	2465	310	2496	96.35	92890665
1312	2451	1466	2487	97.53	As Agents
82	2440	296	2473	99.85	P2500032516
1219	2402	1557	2450	94.93	 PIL AUSTRALIA PTY LTD
827	2377	1494	2407	96.46	PACIFIC INTERNATIONAL LINES (PRVATE) LIMITED
76	2377	485	2405	97.62	.20X20GP CONTAINER(S) ONLY
823	2337	1043	2365	98.89	Signed for the Carrier.
82	2326	677	2359	98.98	Total number of containers or packages received by the Carrier :
825	2293	1692	2323	97.75	and date has been signed, one of which being accompligheg the others to stand void.
78	2282	237	2306	99.67	3366259400
823	2265	1753	2300	97.78	IN WITNESS WHEREOF the number of original Bills of Lading stated above all of this tenor
76	2255	790	2283	94.57	1005 16 STRAND ROAD KOLKATA - 700 020 Tel.91
1196	2229	1380	2262	98.72	 16-JAN-2025
823	2229	1113	2264	98.13	SHIPPED ON BOARD DATE :
76	2227	670	2258	97.72	DIAMOND HERITAGE 10TH FLOOR ROOM NO.
74	2198	666	2233	95.00	 PIL (INDIA) PRIVATE LIMITED, CALCUTTA
827	2181	1454	2212	95.90	PLACE_&DATE'OF ISSUE: MELBOURNE16-JAN-2025
74	2173	578	2205	96.88	 Agent's Address at Destination :
823	1975	1222	2007	96.79	this Bill of Lading by the Merchant.
825	1952	1751	1982	98.43	stamped or written, or otherwise incorporated,notwithstanding the non-signing of
825	1924	1748	1955	97.92	expressly accepts and agrees to all its terms and conditions whether printed,
823	1897	1751	1929	97.55	applicable. In accepting this Bill of Lading. the Merchant (as defined at clause 1)
825	1872	1748	1902	98.37	whichever is applicable,to Place of Delivery or Port of Discharge, whichever is
821	1838	1751	1881	97.46	CARRIER'S APPLICABLE TARIFF) from Place of Receipt or the Port of Loading,
827	1819	1748	1847	97.86	HTTPS:/WWW.PILSHIP.COM,AND THE TERMS AND CONDITIONS OF THE
1573	1794	1748	1822	93.04	FOUND AT
1516	1794	1580	1818	99.85	BE
1301	1792	1521	1820	96.22	WHICH MAY
1145	1792	1313	1820	93.59	COPY OF
983	1787	1136	1822	94.46	HEREOF.
823	1764	1748	1797	98.21	and conditions hereof (INCLUDING THE TERMS AND CONDITIONS ON THE
823	1739	1748	1772	96.93	received by the Carrier' on the face hereof for Carriage subject to all the terms
821	1709	1753	1748	97.99	other packages or units identified as Total number of containers or packages
825	1684	1751	1719	98.33	(unless otherwise stated herein) the'total number or quantity of Containers or
823	1655	1751	1694	98.16	Received by the Carrier from the Shipper in apparent good order and condition
558	1659	753	1689	96.30	FREIGHTPREPAID
82	1657	309	1690	94.78	FREIGHT & CHARGES
629	1606	1252	1637	98.44	 TOBE CONTINUED ON ATTACHED LIST **
882	1495	1109	1530	99.15	XPORTPTY LTD
724	1497	862	1527	94.72	AN GRAIN
608	1499	740	1529	96.40	AUSTRALM
606	1467	719	1502	98.14	3RD NOT
1095	1421	1591	1449	97.58	TOWER #20-01,SINGAPORE 018936
861	1423	965	1447	99.71	MARINA
762	1423	830	1447	99.32	VIEW
636	1423	750	1447	98.56	STRAITS
888	1400	929	1418	96.09	TE
606	1394	868	1424	98.29	OLAM GLOBALAGRI
606	1366	778	1397	99.30	2ND NOTIFY
766	1364	868	1395	96.80	PARTY:
606	1314	951	1344	98.12	 MOBILE: +91-9831133664
606	1288	854	1317	99.55	PAN:AACCA2587R
602	1252	875	1300	93.54	IEC:0208003649.
604	1234	1035	1266	93.44	GST NO. 19AACCA2587R1ZY: 
608	1208	1068	1239	98.13	 * E-MAIL ID: PBPL@PODDARGROUP
1120	1160	1218	1182	93.98	ENBOUNI
606	1154	1115	1182	98.18	14 DAYS FREE COMBINED DETENTION
606	1101	898	1134	97.66	QUANTITY: 524.24MT
604	1076	1085	1108	99.32	PACKING: IN BULK IN CONTAINERS
606	1051	1212	1081	99.68	AUSTRLIAN ORIGIN NIPPER TYPE 2024-2025
606	1025	889	1054	98.32	20 BULKS IN TOTAL
459	1023	546	1056	96.14	 BULKS
606	998	1193	1028	96.92	20X20GP CONTAINER(S) SAID. TO CONTAIN:
480	994	525	1028	99.88	20
1446	949	1511	980	90.23	 KGS
1343	949	1437	980	99.92	 52424
154	905	283	929	95.03	Marks & Nos.
437	898	545	936	99.94	Packages
